id_post,id_post_relacionado,score
263,274,0.776
263,369,0.741
263,407,0.727
263,498,0.717
264,274,0.655
264,409,0.622
264,284,0.615
264,473,0.613
265,347,0.754
265,411,0.686
265,344,0.629
265,335,0.584
266,327,0.744
266,289,0.737
266,491,0.736
266,476,0.719
267,309,0.695
267,357,0.689
267,405,0.682
267,466,0.618
268,332,0.745
268,416,0.722
268,366,0.712
268,365,0.617
269,488,0.774
269,422,0.73
269,325,0.699
269,328,0.692
270,383,0.791
270,361,0.661
270,427,0.628
270,291,0.594
271,428,0.827
271,316,0.711
271,393,0.685
271,417,0.663
272,465,0.764
272,382,0.683
272,485,0.621
272,422,0.582
273,445,0.671
273,426,0.618
273,282,0.589
273,431,0.531
274,263,0.776
274,409,0.714
274,264,0.655
274,407,0.56
275,421,0.677
275,303,0.627
275,374,0.579
275,443,0.565
276,446,0.684
276,317,0.633
276,460,0.609
276,496,0.601
277,364,0.592
277,486,0.569
277,501,0.558
277,283,0.55
278,312,0.77
278,487,0.59
278,374,0.582
278,370,0.572
279,426,0.872
279,427,0.638
279,479,0.62
279,347,0.542
280,337,0.685
280,470,0.623
280,351,0.587
280,429,0.54
281,480,0.859
281,342,0.747
281,344,0.63
281,462,0.597
282,445,0.749
282,397,0.69
282,499,0.673
282,273,0.589
283,455,0.805
283,307,0.66
283,317,0.622
283,460,0.596
284,338,0.672
284,464,0.636
284,264,0.615
284,315,0.58
285,433,0.75
285,483,0.676
285,304,0.599
285,447,0.587
286,306,0.757
286,297,0.636
286,320,0.622
286,468,0.563
287,446,0.73
287,364,0.577
287,486,0.576
287,394,0.574
288,368,0.702
288,489,0.648
288,473,0.63
288,295,0.504
289,266,0.737
289,451,0.671
289,401,0.625
289,327,0.616
290,430,0.815
290,423,0.694
290,438,0.689
290,392,0.583
291,361,0.747
291,383,0.642
291,270,0.594
291,445,0.589
292,300,0.725
292,396,0.643
292,331,0.632
292,327,0.618
293,377,0.704
293,380,0.698
293,376,0.637
293,472,0.606
294,379,0.75
294,442,0.655
294,490,0.622
294,354,0.59
295,315,0.756
295,403,0.613
295,368,0.563
295,478,0.544
296,299,0.881
296,370,0.701
296,318,0.561
296,487,0.555
297,286,0.636
297,306,0.621
297,390,0.59
297,322,0.585
298,410,0.824
298,429,0.824
298,349,0.733
298,308,0.715
299,296,0.881
299,370,0.776
299,487,0.578
299,278,0.543
300,331,0.743
300,292,0.725
300,334,0.715
300,401,0.682
301,408,0.774
301,360,0.747
301,386,0.63
301,349,0.556
302,316,0.684
302,358,0.629
302,357,0.62
302,311,0.618
303,275,0.627
303,420,0.477
303,435,0.464
303,490,0.434
304,358,0.723
304,373,0.696
304,352,0.672
304,417,0.652
305,451,0.722
305,334,0.656
305,419,0.599
305,300,0.599
306,286,0.757
306,339,0.755
306,444,0.633
306,320,0.623
307,283,0.66
307,341,0.563
307,488,0.542
307,404,0.533
308,330,0.726
308,298,0.715
308,410,0.672
308,429,0.642
309,450,0.794
309,267,0.695
309,399,0.683
309,322,0.648
310,312,0.649
310,318,0.586
310,370,0.536
310,296,0.488
311,500,0.654
311,324,0.626
311,302,0.618
311,457,0.6
312,278,0.77
312,310,0.649
312,442,0.617
312,421,0.577
313,318,0.704
313,490,0.594
313,435,0.582
313,275,0.462
314,371,0.681
314,348,0.625
314,356,0.498
314,375,0.492
315,295,0.756
315,319,0.654
315,477,0.647
315,284,0.58
316,271,0.711
316,428,0.709
316,302,0.684
316,437,0.613
317,496,0.769
317,501,0.743
317,446,0.676
317,276,0.633
318,490,0.708
318,313,0.704
318,310,0.586
318,296,0.561
319,406,0.663
319,315,0.654
319,473,0.654
319,489,0.52
320,412,0.681
320,322,0.631
320,390,0.63
320,306,0.623
321,423,0.748
321,336,0.688
321,438,0.605
321,422,0.586
322,447,0.675
322,309,0.648
322,390,0.641
322,424,0.638
323,380,0.853
323,362,0.731
323,377,0.651
323,429,0.635
324,339,0.798
324,343,0.721
324,400,0.664
324,389,0.646
325,459,0.826
325,474,0.804
325,269,0.699
325,488,0.692
326,317,0.619
326,438,0.605
326,430,0.561
326,501,0.55
327,491,0.831
327,266,0.744
327,292,0.618
327,289,0.616
328,474,0.766
328,459,0.707
328,488,0.702
328,269,0.692
329,385,0.873
329,431,0.646
329,471,0.645
329,456,0.618
330,308,0.726
330,449,0.707
330,337,0.608
330,470,0.597
331,451,0.752
331,300,0.743
331,401,0.73
331,292,0.632
332,268,0.745
332,366,0.648
332,416,0.625
332,363,0.585
333,485,0.709
333,394,0.64
333,475,0.569
333,460,0.569
334,300,0.715
334,401,0.67
334,305,0.656
334,453,0.546
335,342,0.623
335,344,0.601
335,265,0.584
335,462,0.553
336,392,0.702
336,321,0.688
336,460,0.684
336,425,0.633
337,470,0.848
337,351,0.738
337,280,0.685
337,429,0.672
338,402,0.752
338,284,0.672
338,348,0.601
338,484,0.525
339,324,0.798
339,306,0.755
339,343,0.721
339,400,0.667
340,448,0.694
340,363,0.596
340,416,0.578
340,469,0.566
341,423,0.733
341,455,0.684
341,392,0.634
341,336,0.566
342,281,0.747
342,456,0.706
342,471,0.696
342,480,0.684
343,447,0.831
343,400,0.748
343,339,0.721
343,324,0.721
344,462,0.789
344,397,0.682
344,499,0.642
344,281,0.63
345,419,0.764
345,469,0.75
345,476,0.73
345,305,0.598
346,454,0.713
346,309,0.566
346,500,0.565
346,483,0.557
347,411,0.783
347,397,0.772
347,265,0.754
347,359,0.601
348,478,0.782
348,484,0.645
348,402,0.644
348,314,0.625
349,386,0.874
349,298,0.733
349,429,0.681
349,408,0.645
350,461,0.765
350,500,0.652
350,388,0.561
350,439,0.558
351,337,0.738
351,298,0.664
351,410,0.642
351,470,0.629
352,373,0.716
352,434,0.716
352,358,0.705
352,304,0.672
353,398,0.788
353,470,0.63
353,351,0.581
353,337,0.569
354,379,0.709
354,370,0.631
354,294,0.59
354,442,0.514
355,405,0.676
355,457,0.599
355,390,0.567
355,497,0.563
356,403,0.58
356,263,0.541
356,314,0.498
356,375,0.468
357,267,0.689
357,444,0.682
357,405,0.655
357,302,0.62
358,434,0.796
358,304,0.723
358,352,0.705
358,389,0.664
