id_post,id_post_relacionado,score
263,274,0.826
263,407,0.7826
263,369,0.7763
263,498,0.7628
264,274,0.6887
264,473,0.6587
264,409,0.6534
264,284,0.6328
265,347,0.7862
265,411,0.7204
265,344,0.6752
265,471,0.6066
266,327,0.8
266,289,0.7793
266,491,0.7634
266,476,0.7343
267,309,0.7308
267,405,0.7136
267,357,0.7107
267,316,0.65
268,332,0.7741
268,416,0.7653
268,366,0.7338
268,365,0.637
269,488,0.8224
269,422,0.7671
269,325,0.752
269,328,0.7437
270,383,0.8264
270,361,0.6794
270,427,0.6512
270,291,0.6172
271,428,0.888
271,316,0.752
271,393,0.7208
271,417,0.7001
272,465,0.8123
272,382,0.7346
272,485,0.653
272,422,0.6214
273,445,0.7002
273,426,0.631
273,282,0.6246
273,279,0.5695
274,263,0.826
274,409,0.7691
274,264,0.6887
274,407,0.5938
275,421,0.7198
275,303,0.6827
275,374,0.609
275,443,0.6041
276,446,0.7233
276,317,0.6639
276,460,0.6362
276,496,0.6319
277,364,0.6367
277,486,0.6058
277,283,0.5829
277,501,0.5777
278,312,0.8161
278,370,0.6182
278,374,0.6133
278,487,0.6101
279,426,0.918
279,427,0.6739
279,479,0.6582
279,347,0.577
280,337,0.7417
280,470,0.6408
280,351,0.6171
280,384,0.5665
281,480,0.8951
281,342,0.7959
281,344,0.6681
281,462,0.6149
282,445,0.7872
282,397,0.7336
282,499,0.7039
282,344,0.6287
283,455,0.8429
283,307,0.7141
283,317,0.6524
283,460,0.6405
284,338,0.7051
284,464,0.6865
284,264,0.6328
284,315,0.6101
285,433,0.7846
285,483,0.7141
285,304,0.6273
285,454,0.6194
286,306,0.7897
286,320,0.6701
286,297,0.6651
286,339,0.5928
287,446,0.7822
287,394,0.6256
287,364,0.6104
287,486,0.5984
288,368,0.7256
288,489,0.6844
288,473,0.6808
288,295,0.5326
289,266,0.7793
289,451,0.6891
289,401,0.6651
289,327,0.6459
290,430,0.8918
290,438,0.7351
290,423,0.7286
290,475,0.6315
291,361,0.7872
291,383,0.6643
291,270,0.6172
291,445,0.6088
292,300,0.769
292,396,0.6815
292,331,0.664
292,327,0.6604
293,377,0.7481
293,380,0.7339
293,376,0.6631
293,472,0.6354
294,379,0.7959
294,442,0.6737
294,490,0.6548
294,354,0.5946
295,315,0.8084
295,403,0.6447
295,368,0.5907
295,478,0.5719
296,299,0.92
296,370,0.7628
296,487,0.57
296,318,0.5636
297,306,0.6692
297,286,0.6651
297,322,0.6327
297,390,0.6233
298,429,0.8502
298,410,0.8453
298,349,0.7712
298,308,0.7521
299,296,0.92
299,370,0.8105
299,487,0.6097
299,278,0.5641
300,331,0.7835
300,292,0.769
300,334,0.7681
300,401,0.735
301,408,0.8216
301,360,0.7858
301,386,0.6504
301,384,0.5774
302,316,0.7411
302,311,0.674
302,358,0.671
302,357,0.657
303,275,0.6827
303,420,0.5052
303,435,0.4816
303,374,0.4619
304,358,0.7596
304,373,0.7415
304,352,0.7139
304,324,0.6799
305,451,0.7585
305,334,0.6995
305,419,0.6452
305,300,0.6278
306,339,0.8066
306,286,0.7897
306,320,0.6883
306,297,0.6692
307,283,0.7141
307,341,0.5978
307,488,0.5764
307,455,0.5542
308,330,0.7535
308,298,0.7521
308,410,0.6854
308,429,0.6598
309,450,0.824
309,267,0.7308
309,399,0.7166
309,322,0.6954
310,312,0.6757
310,318,0.5971
310,370,0.5648
310,296,0.5014
311,500,0.6985
311,302,0.674
311,324,0.6455
311,457,0.6399
312,278,0.8161
312,310,0.6757
312,442,0.6371
312,421,0.6114
313,318,0.7328
313,490,0.6073
313,435,0.5984
313,275,0.4914
314,371,0.7313
314,348,0.6681
314,356,0.5267
314,375,0.5115
315,295,0.8084
315,319,0.6896
315,477,0.6768
315,284,0.6101
316,428,0.7693
316,271,0.752
316,302,0.7411
316,267,0.65
317,496,0.7879
317,501,0.7723
317,446,0.7065
317,276,0.6639
318,490,0.7453
318,313,0.7328
318,310,0.5971
318,296,0.5636
319,406,0.7113
319,473,0.7095
319,315,0.6896
319,489,0.5671
320,412,0.7247
320,306,0.6883
320,286,0.6701
320,390,0.6623
321,423,0.8052
